"Id,Title,Body,Tags"
"1,How to check if an uploaded file is an image without mime type?,""<p>I'd like to check if an uploaded file is an image file (e.g png, jpg, jpeg, gif, bmp) or another file. The problem is that I'm using Uploadify to upload the files, which changes the mime type and gives a 'text/octal' or something as the mime type, no matter which file type you upload.</p>"
<p>Is there a way to check if the uploaded file is an image apart from checking the file extension using PHP?</p>
""",php image-processing file-upload upload mime-types"
"2,How can I prevent firefox from closing when I press ctrl-w,""<p>In my favorite editor (vim), I regularly use ctrl-w to execute a certain action. Now, it quite often happens to me that firefox is the active window (on windows) while I still look at vim (thinking vim is the active window) and press ctrl-w which closes firefox. This is not what I want. Is there a way to stop ctrl-w from closing firefox?</p>"
<p>Rene</p>
""",firefox"
"3,R Error Invalid type (list) for variable,""<p>I am import matlab file and construct a data frame, matlab file contains two columns with and each row maintain a cell that has a matrix, I construct a dataframe to run random forest. But I am getting following error. </p>"
"<pre><code>Error in model.frame.default(formula = expert_data_frame$t_labels ~ .,  : "
  invalid type (list) for variable 'expert_data_frame$t_labels'
</code></pre>
<p>Here is the code how I import the matlab file and construct the dataframe:</p>
<pre><code>all_exp_traintest &lt;- readMat(all_exp_filepath);
len = length(all_exp_traintest$exp.traintest)/2;
    for (i in 1:len) {
      expert_train_df &lt;- data.frame(all_exp_traintest$exp.traintest[i]);
      labels = data.frame(all_exp_traintest$exp.traintest[i+302]);
"      names(labels)[1] &lt;- """"t_labels"""";"
      expert_train_df$t_labels &lt;- labels;
      expert_data_frame &lt;- data.frame(expert_train_df);
"      rf_model = randomForest(expert_data_frame$t_labels ~., data=expert_data_frame, importance=TRUE, do.trace=100);"
    }
</code></pre>
<p>Structure of the Matlab input file</p>
<pre><code>[56x12 double]    [56x1 double]
[62x12 double]    [62x1 double]
[62x12 double]    [62x1 double]
[62x12 double]    [62x1 double]
[62x12 double]    [62x1 double]
[74x12 double]    [74x1 double]
&gt; str(all_exp_traintest)
List of 1
 $ exp.traintest:List of 604
"  ..$ NA: num [1:56, 1:12] 0 0 0 0 8 1 1 0 0 0 ..."
"  ..$ NA: num [1:62, 1:12] 2 10 11 13 5 10 13 8 11 8 ..."
"  ..$ NA: num [1:62, 1:12] 0 0 1 0 0 0 0 0 1 1 ..."
"  ..$ NA: num [1:62, 1:12] 4 2 1 3 3 20 6 3 2 2 ..."
"  ..$ NA: num [1:62, 1:12] 2731 2362 2937 1229 1898 ..."
"  ..$ NA: num [1:74, 1:12] 27 33 34 38 33 35 36 35 47 46 ..."
"  ..$ NA: num [1:74, 1:12] 106 79 99 94 153 104 146 105 125 146 ..."
"  ..$ NA: num [1:74, 1:12] 3 9 3 0 1 26 0 4 0 0 ..."
"  ..$ NA: num [1:51, 1:12] 5 7 3 30 0 0 0 0 0 0 ..."
"  ..$ NA: num [1:66, 1:12] 0 0 13 0 0 3 2 2 0 2 ..."
"  ..$ NA: num [1:73, 1:12] 1 0 1 0 0 0 2 1 2 5 ..."
"  ..$ NA: num [1:73, 1:12] 23 14 20 14 24 22 32 61 84 278 ..."
"  ..$ NA: num [1:75, 1:12] 1 7 0 1 2 3 3 0 16 10 ..."
"  ..$ NA: num [1:90, 1:12] 10 7 8 15 25 12 37 31 18 48 ..."
"  ..$ NA: num [1:90, 1:12] 0 6 3 1 5 7 8 6 1 1 ..."
"  ..$ NA: num [1:90, 1:12] 0 1 1 2 0 4 9 6 3 4 ..."
"  ..$ NA: num [1:90, 1:12] 6 0 5 27 11 50 22 8 10 4 ..."
"  ..$ NA: num [1:90, 1:12] 3 9 13 12 4 0 5 0 5 0 ..."
"  ..$ NA: num [1:90, 1:12] 1 0 1 0 1 2 1 0 1 2 ..."
"  ..$ NA: num [1:90, 1:12] 3395 3400 3360 3770 3533 ..."
"  ..$ NA: num [1:84, 1:12] 0 0 0 0 5 0 0 5 4 2 ..."
"  ..$ NA: num [1:80, 1:12] 2 3 3 3 4 28 61 26 8 1 ..."
"  ..$ NA: num [1:81, 1:12] 4 28 22 9 16 43 80 21 19 18 ..."
"  ..$ NA: num [1:76, 1:12] 1 0 0 1 49 64 60 230 222 267 ..."
"  ..$ NA: num [1:76, 1:12] 4786 4491 2510 1144 2071 ..."
"  ..$ NA: num [1:76, 1:12] 80 128 254 109 114 267 152 139 368 363 ..."
